"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"16045","711","0.37","0.5232590180780452","2.0","0.0","0.74","C","24,31"
"16045","713","0.37","0.5232590180780452","2.0","0.0","0.74","C","24,31"
"16045","714","0.0","","1.0","0.0","0.0","","24"
"16045","715","0.8200000000000001","","1.0","0.8200000000000001","0.8200000000000001","","24"
"16045","716","0.0","","1.0","0.0","0.0","","24"
"16047","710","0.2571428571428572","0.12233554836823933","7.0","0.0","0.4","C","2,82"
"16047","711","0.17142857142857146","0.07190318509781667","7.0","0.0","0.2","C","2,82"
"16047","712","0.0","","1.0","0.0","0.0","C","2"
"16047","713","0.42857142857142855","0.18880216763427626","7.0","0.0","0.6","C","2,82"
"16047","714","0.0","","1.0","0.0","0.0","","2"
"16047","715","0.0","","1.0","0.0","0.0","","2"
"16047","716","0.0","","1.0","0.0","0.0","","2"
"16049","710","0.0","","1.0","0.0","0.0","C","2"
"16049","711","0.01","","1.0","0.01","0.01","C","2"
"16049","712","0.01","","1.0","0.01","0.01","C","2"
"16049","713","0.02","","1.0","0.02","0.02","C","2"
"16049","714","0.01","","1.0","0.01","0.01","","2"
"16049","715","0.0","","1.0","0.0","0.0","","2"
"16049","716","0.0","","1.0","0.0","0.0","","2"
"16050","710","0.01","","1.0","0.01","0.01","D","89"
"16050","711","0.03","","1.0","0.03","0.03","D","89"
"16050","712","0.0","","1.0","0.0","0.0","D","89"
"16050","713","0.04","","1.0","0.04","0.04","D","89"
"16050","715","4.0E-4","","1.0","4.0E-4","4.0E-4","","89"
"16050","716","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"16052","710","0.331874","1.0034463292661835","10.0","0.0","3.27074","B","2,50,57,61,73"
"16052","711","0.1483846153846154","0.5216849829163137","13.0","0.0","1.925","B","2,25,50,57,61,73"
"16052","712","0.275","0.5020790110464023","4.0","0.0","1.1","B","2,73"
"16052","713","0.634774","1.9329297259589018","10.0","0.0","6.29574","B","2,50,57,61,73"
"16052","714","0.12050000000000001","0.22771546573154255","6.0","0.0","0.462","","2,57,73"
"16052","715","0.011325","0.018687495819397527","6.0","0.0","0.039","","2,57,73"
"16052","716","0.0","0.0","6.0","0.0","0.0","","2,57,73"
"16053","710","0.0","","1.0","0.0","0.0","B","50"
"16053","711","0.0","","1.0","0.0","0.0","B","50"
"16053","713","0.0","","1.0","0.0","0.0","B","50"
"16054","710","0.0","","1.0","0.0","0.0","D","89"
"16054","711","0.0","","1.0","0.0","0.0","D","89"
"16054","712","0.0","","1.0","0.0","0.0","D","89"
"16054","713","0.0","","1.0","0.0","0.0","D","89"
"16054","715","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"16054","716","0.0","","1.0","0.0","0.0","","89"
"16056","710","0.21","0.20359971567646595","11.0","0.0","0.65","B","2,24,31,50,57,73,76b"
"16056","711","0.06475","0.05","10.0","0.0","0.1375","B","2,24,31,50,57,73,76b"
"16056","712","0.18","0.38","5.0","0.0","0.89","B","2,73,76b"
"16056","713","0.37967120000000004","0.31192072294305095","10.0","0.0","1.059712","B","2,24,31,50,57,73"
"16056","714","1.5385857142857142","1.0188687197550224","9.0","0.0","3.08","","2,24,31,57,73"
"16056","715","0.12104285714285713","0.12957486712505706","9.0","0.0","0.36","","2,24,31,57,73"
"16056","716","0.007857142857142858","0.018676443018131796","9.0","0.0","0.05","","2,24,31,57,73"
"16057","710","0.0","","1.0","0.0","0.0","B","50"
"16057","711","0.02","","1.0","0.02","0.02","B","50"
"16057","713","0.02","","1.0","0.02","0.02","B","50"
"16058","710","0.0","","1.0","0.0","0.0","D","89"
"16058","711","0.0","","1.0","0.0","0.0","D","89"
"16058","712","0.0","","1.0","0.0","0.0","D","89"
"16058","713","0.0","","1.0","0.0","0.0","D","89"
"16058","715","5.0E-4","","1.0","5.0E-4","5.0E-4","","89"
"16058","716","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"16062","710","0.0125","0.0125","4.0","0.0","0.025","C","24,31,57"
"16062","711","0.017","0.017","4.0","0.0","0.034","C","24,31,57"
"16062","713","0.0295","0.0295","4.0","0.0","0.059","C","24,31,57"
"16062","714","0.5792333333333334","0.9966006037191294","3.0","0.0","1.73","","24,57"
"16062","715","0.0018333333333333333","0.0031754264805429412","3.0","0.0","0.0055","","24,57"
"16062","716","0.0059","0.005237365750069399","3.0","0.0","0.01","","24,57"
"16069","710","0.0106325","0.020732059692831845","9.0","0.0","0.06106","B","2,24,31,50,57,76b"
"16069","711","0.05215625000000001","0.12228868378521228","9.0","0.0","0.35625","B","2,24,31,50,57,76b"
"16069","712","0.0","0.0","3.0","0.0","0.0","C","2,76b"
"16069","713","0.06278875","0.14272968555026241","8.0","0.0","0.41731","B","2,24,31,50,57"
"16069","714","0.004275","0.0050763339790311935","4.0","0.0","0.01","","2,57"
"16069","715","0.00455","0.005413871073455665","4.0","0.0","0.0107","","2,57"
"16069","716","0.0017","0.0034","4.0","0.0","0.0068","","2,57"
"16070","710","0.0","0.0","2.0","0.0","0.0","C","50,89"
"16070","711","0.0","0.0","2.0","0.0","0.0","C","50,89"
"16070","712","0.0","","1.0","0.0","0.0","C","89"
"16070","713","0.005","0.007071067811865475","2.0","0.0","0.01","C","50,89"
"16070","715","0.007","","1.0","0.007","0.007","","89"
"16070","716","3.0E-4","","1.0","3.0E-4","3.0E-4","","89"
"16071","712","0.0","0.0","21.0","0.0","0.0","B","73"
"16071","714","0.2731818181818182","0.2605957053298531","25.0","0.0","0.5","","24,57,73"
